"advertiserId","programmeName","conversionRate","approvalRate","epc","launchDate","paymentStatus","paymentRiskLevel","awinIndex","feedEnabled","productReporting","commissionMin","commissionMax","leadMin","leadMax","cookieLength","parentSectors","subSectors","primarySector","averagePaymentTime","primaryRegion","descriptionShort","logoUrl","displayUrl"
"19228","Matratzen Concord DE","2.13502","97.00","0.44","2020-04-07","amber","exposurelevel2","65.8281","yes","no","10","10","0","0","30","Retail & Shopping","Furniture & Soft Furnishings","Furniture & Soft Furnishings","60","DE","Matratzen Concord berät seine Kunden seit 30 Jahren individuell und kompetent über die richtige Schlaflösung. Als Europas größter Spezialist für Matratzen bieten wir für jeden das Passende aus unserem Sortiment an Matratzen, Lattenrahmen und Bettwaren.","https://ui.awin.com/images/upload/merchant/profile/19228.png","https://www.matratzen-concord.de/"
"31804","konfetti DE","0.509204","57.63","0.10","2022-08-01","green","none","56.4514","no","no","0","0","0","0","30","Retail & Shopping|Telco's & Services","DIY|Gifts & Flowers|Photography|Tickets","Tickets","36","DE","Finde Kurse und Teamevents in Deiner Nähe. Mit insgesamt über 10.000 Kursen, von Kochkurs über Cocktailkurse bis Malkurse, ist konfetti die Plattform in Deutschland und Österreich für lokale Workshops.","https://ui.awin.com/images/upload/merchant/profile/31804.png","https://gokonfetti.com/de-de/"
"115150","Betriebseinrichtung DE","0.767651","75.00","0.88","2025-04-18","amber","exposurelevel1","71.2724","yes","no","0","0","0","0","30","Retail & Shopping","Furniture & Soft Furnishings","Furniture & Soft Furnishings","32","DE","Ihr Lieferant für Stahl-/Büromöbel  Betriebseinrichtung. Top-Qualität zum fairen Preis. Schnell geliefert  optional montiert. Profitieren Sie von unserer Erfahrung!","https://ui.awin.com/images/upload/merchant/profile/115150.png","https://www.betriebseinrichtung.de"
"27814","Mein schöner Garten DE","3.8054","96.50","0.05","2022-03-16","amber","exposurelevel2","57.9005","yes","no","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","105","DE","Mit dem Shop von mein schöner Garten bietet Europas größte Gartenzeitschrift ein breites Sortiment an attraktiven Pflanzen jeglicher Gattung, Gartenmöbeln, Gartenaccessoires sowie weiteren Tools und Helfer für die Garten.","https://ui.awin.com/images/upload/merchant/profile/27814.png","https://shop.mein-schoener-garten.de"
"35595","Marktkauf DE","1.71014","90.30","0.14","2022-12-21","amber","exposurelevel2","59.027","yes","no","0","0","0","0","60","Retail & Shopping","Audio Visual|Childrenswear|Clothing|Clothing Accessories|Computers|DIY|Electronic Accessories|Electronic Superstore|Entertainment Superstore|FMCG|Furniture & Soft Furnishings|Gadgets|Gifts & Flowers|Green (Eco friendly)|Health & Beauty|Home & Garden|Lead Gen|Lingerie|Menswear|Music & DVD|Office Supplies|PC & Video Games|Pets & Pet Care|Pharmaceuticals|Photography|Shoes|Sports Equipment|Sportswear|Toys & Games|White Goods|Wine Spirits & Tobacco|Womenswear|Baby & Toddler","FMCG","119","DE","Marktkauf.de bietet mit dem Marktkauf Online-Shop eine breite Produktpalette mit starken Marken zu sehr günstigen Preisen.","https://ui.awin.com/images/upload/merchant/profile/35595.png","https://www.marktkauf.de/"
"113554","360GradFitness DE","5.80097","99.07","0.19","2025-03-19","amber","exposurelevel1","70.403","yes","no","0","0","0","0","30","Retail & Shopping","Electronic Accessories|Sports Equipment","Sports Equipment","49","DE","Wir möchten unsere Kunden für den Sport begeistern und das in egal welcher Lebenssituation oder Lebenslage. Wir haben bei unseren Produkten den medizinischen Hintergrund, die optimal auf gesunden und sicheren Sport durchdachte Funktion abgestimmt.","https://ui.awin.com/images/upload/merchant/profile/113554.png","https://360gradfitness.de/"
"118037","genusswald DE","","0.00","0.00","2025-07-22","amber","exposurelevel2","0","no","no","0","0","0","0","30","Retail & Shopping","FMCG","FMCG","null","DE","genusswald - Feinkost für jeden Tag!Unsere Feinkost-Spezialitäten werden mit größter Sorgfalt ausgewählt und garantieren besten Geschmack und höchste Qualität.","https://ui.awin.com/images/upload/merchant/profile/118037.png","https://www.genusswald.de/"
"108306","Schipper DE","6.76264","88.14","0.69","2025-03-31","green","none","75.1594","yes","no","0","0","0","0","30","Retail & Shopping","Toys & Games","Toys & Games","41","DE","Schipper steht für hochwertige Malen-nach-Zahlen Sets mit detailreichen Motiven und exzellenter Qualität. Entdecke kreativen Malspaß für jedes Alter und erschaffe beeindruckende Kunstwerke – entspannend, präzise und mit einzigartigem Malerlebnis.","https://ui.awin.com/images/upload/merchant/profile/108306.png","https://www.malennachzahlen-schipper.com"
"122430","Flammlachsbrettl","","0.00","0.00","2025-12-03","amber","exposurelevel2","","yes","no","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","null","DE","Flammlachsbrettl, das bin ich, Jens Schneider aus Leipzig. Ich fertige Flammlachsbretter Made in Germany, aus verschiedenen Hölzern mit selbst entwickelter Halterung und Brettaufnahme aus Edelstahl für Grill und Feuerschale, sowie Feuerplatten.","https://ui.awin.com/images/upload/merchant/profile/122430.png","https://flammlachsbrettl.de/"
"114536","mantraroma DE","14.4444","73.91","0.30","2025-03-31","amber","exposurelevel1","60.6244","no","no","0","0","0","0","30","Retail & Shopping","Jewellery","Jewellery","50","DE","Wir verkaufen hangefertigten Silberschmuck aus Indien.Wir bieten Schmuck mit verschiedenen Edelsteinen an, unser Angebot erstreckt sich von schlichtem, modernen Schmuck bis hin zu reichlich verzierten ausgefallenen Schmuckstücken.","https://ui.awin.com/images/upload/merchant/profile/114536.png","https://mantraroma.shop/"
